법률분류,기본질문,기본답변
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅰ.의의및개념,부모의 성명만 기재된 가족관계증명서에 나머지 사항도 추가기재할 수 있는지 여부,"사망한 부모의 성명만 기재되어 가족관계증명서가 발급되는 경우 ?가족관계의 등록 등에 관한 규칙? 부칙 제4조제1항 후단에 따라 이해관계인이 제적등본을 제시하면서 주민등록번호, 생년월일, 성별, 본의 추가를 하고자 한다면 등록기준지 시(구)?읍?면의 사무소에 정정신청을 할 수 있습니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,가족관계등록부 성명란의 이름 중 한글병기 표시의 정정방법,"착오로 잘못된 한글표기가 되어있을 때는 간이직권정정절차에 의하여 이를 정정하도록 규정하고 있었으므로(구 호적예규 제499호), 지금이라도 주민등록표 등·초본, 학적부, 졸업증명서, 예금통장 등 ‘렬’자(자)의 한글음 표기를 실제 ‘렬’로 사용하였음을 소명할 수 있는 자료를 첨부하여 가족관계등록부 및 제적부 정정신청을 한다면 관할 등록관서에서 간이직권정정절차에 의하여 이를 정정할 수 있을 것입니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,가족관계등록부의 직권정정신청은 어떤 경우에 하는 것인지,"직권에 의한 등록부정정이란 시(구)·읍·면의 장이 직권에 의하여 스스로 등록부기록사항을 정정하는 것을 말하며, 이는 가족관계등록기록사항이 법률상 무효이거나 착오 또는 누락이 있는 때에 이를 발견한 공무원이 신고인 또는 사건본인에게 그 사실을 통지하여 정정절차를 취할 수 있도록 하고, 만약 통지를 받을 사람이 없거나 통지를 받고도 정정신청을 하지 않는 경우에 시(구)·읍·면의 장이 직권으로 등록부를 정정하는 것을 말합니다. 직권으로 등록부를 정정할 수 있는 방법은 시(구)·읍·면의 장이 감독법원에 직권정정신청을 하여 그 허가를 받은 후에 등록부를 정정하는 방법과 감독법원의 허가없이 시(구)·읍·면의 장이 먼저 직권으로 정정을 하고 감독법원에 보고하는 간이직권정정의 방법이 있습니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,가족관계증명서를 발급받아 보니 가족 중에 누락 또는 착오 기재된 가족이 있는데 이를 추가 또는 정정할 수 있는 절차 및 방법이 있나요?,가족관계증명서상에 누락되거나 착오 기재된 가족이 있는 경우에는 등록기준지 시(구)?읍?면의 사무소에 가족관계등록부 추가기록신청 및 정정신청을 하면 됩니다. 이 경우에는 간이직권정정절차에 의하여 곧바로 가족관계등록부에 추가기록 및 정정을 할 수 있습니다.
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,가족관계증명서에 누락 또는 착오 기재된 가족을 추가기재신청할 수 있는지 여부,가족관계증명서상에 누락되거나 착오 기재된 가족이 있는 경우에는 등록기준지 시(구)?읍?면의 사무소에 가족관계등록부 추가기록신청 및 정정신청을 하면 됩니다. 이 경우에는 간이직권정정절차에 의하여 곧바로 가족관계등록부에 추가기록 및 정정을 할 수 있습니다.
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,가족관계증명서에 외국인인 배우자가 누락된 경우 정정할 수 있는 방법,"가족관계증명서에는 배우자의 성명과 기타 인적사항이 기록되어야 합니다. 따라서 비록 배우자가 외국인이라고 하여도 본인의 가족관계등록부에 누락되어 있다면, 이해관계인의 신청을 받은 시(구)ㆍ읍ㆍ면의 장은 간이직권절차로 본인의 가족관계등록부상 배우자를 추가로 기록하여야 할 것입니다(가족관계의 등록 등에 관한 규칙 제60조 제2항 참조)."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,공무원의 착오로 잘못 기재된 가족관계등록부상의 이름 정정방법,"등록부정정에는 가족관계등록비송에 의한 정정, 확정판결에 의한 정정, 직권에 의한 정정이 있는데, 공무원의 착오로 잘못 기재된 것이 명백한 경우에는 직권에 의한 정정 중 감독법원의 허가 없이 할 수 있는 직권정정 즉, 간이직권정정사항에 해당한다고 볼 수 있습니다(가족관계의 등록 등에 관한 법률 제18조, 제104조 내지 제107조)"
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,등록기준지가 틀린 경우,"등록부의 기록이 법률상 무효인 것이거나 그 기록에 착오 또는 누락이 있는 경우이므로 가족관계등록법 제18조에 다른 직권정정의 사유이며, 한편 동법 제104조에 따라 관할 가정법원에 가족관계등록부 정정허가신청을 하여 법원의 허가를 받아 시(구)·읍·면의 장에게 정정신청을 하는 방법으로도 가능합니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,등록담당공무원이 착오로 출생신고한 경우,"공무원의 과실로 출생신고서에 기재된 내용과 다르게 기재한 것이 명백하므로, 가족관계등록법 제18조 제2항 및 규칙 제60조 제2항 제5호에 따라 간이직권절차로 정정하면 됩니다."
가족관계등록>가족관계등록부창설및정정>가족관계등록부정정>Ⅱ.직권에의한등록부정정,"저는 1980년생으로, 2006년 남편 乙과 혼인신고를 하면서 호적공무원의 착오로 제 이름 중‘今’자를‘令’자로 기재하여 현재까지도 가족관계등록부상에 그대로입니다. 그러나 주민등록등본과 주민등록증에는 원래의 이름대로 되어 있는데 잘못된 가족관계등록부상의 이름을 바로 하려면 어떻게 하여야 하는지요?","☞ 신분관계를 등록.공증하는 유일한 공부인 가족관계등록부의 기재는 진실하다는 추정력이 인정되어 강한 증명력을 갖게 되므로 등록부 기재내용과 신분관계가 부합되어야 하는 것입니다. 그러므로 어떠한 이유에서 실제의 신분관계와 부합하지 않는 등록부 기재가 있는 경우 신속한 정정절차가 개시될 수 있도록 가족관계등록부의 정정통지제도를 두는 한편 등록부 정정제도를 두어 이를 정정토록 하고 있습니다. 위 사안의 경우 가족관계등록부의 정정에 해당하는바, 등록부 정정에는 가족관계등록 비송에 의한 정정, 확정판결에 의한 정정, 직권에 의한 정정이 있는데, 위 사안은 직권에 의한 정정 중 감독법원의 허가 없이 할 수 있는 직권정정 즉, 간이직권정정사항에 해당한다고 볼 수 있습니다(가족관계의 등록 등에 관한 법률 제104조 내지 제107 조). 즉, 다음과 같은 경미한 사항에 대하여는 감독법원의 허가 없이 시(구).읍.면장이 직권으로 정정할 수 있으며, 정정 후 감독법원에 보고하도록 되어 있습니다(같은 법 제18조, 가족관계의 등록 등에 관한 규칙 제60조 제2항). 1.등록부의 기록이 오기되었거나 누락되었음이 법 시행 전의 호적(제적)이나 그 등본에 의하여 명백한 때, 2.규칙 제54조 또는 제55조에 의한 기록이 누락되었음이 신고서류 등에 의하여 명백한 때, 3.한쪽 배우자의 등록부에 혼인 또는 이혼의 기록이 있으나 다른 배우자의 등록부에는 혼인 또는 이혼의 기록이 누락된 때, 4.부 또는 모의 본이 정정되거나 변경되었음이 등록사항별 증명서에 의하여 명백함에도 그 자녀의 본란이 정정되거나 변경되지 아니한 때, 5.신고서류에 의하여 이루어진 등록부의 기록에 오기나 누락된 부분이 있음이 해당 신고서류에 비추어 명백한 때, 따라서 귀하의 경우는 위 제1호에 해당된다 할 것이므로 해당 사건을 처리한 시(구).읍.면에 말 또는 서면으로 직권정정신청을 하여 잘못된 이름을 바로잡을 수 있을 것으로 보입니다."
